CellID,20-22_m,22-23_m,Cck,Pcp4,Pvalb,Sst,Vip,centroidX,centroidY
35890,0,0,0,0,5,0,0,2.669888e+04,8.973168e+03
35893,0,0,0,1,0,0,0,2.769910e+04,8.984714e+03
35894,0,0,0,3,0,1,0,2.611974e+04,8.983039e+03
35895,0,0,1,0,0,0,0,2.693609e+04,8.968874e+03
35896,0,0,0,0,0,0,0,2.739035e+04,8.979586e+03
35897,0,0,0,1,0,0,0,2.710105e+04,8.984070e+03
35900,0,0,0,1,0,2,0,2.730354e+04,8.980046e+03
35902,0,0,1,0,0,0,0,2.716690e+04,8.986285e+03
35903,0,0,2,0,0,0,0,2.647686e+04,8.995862e+03
35906,0,0,0,0,1,0,0,2.796265e+04,9.002217e+03
35907,0,0,0,1,0,0,0,2.761644e+04,9.005231e+03
35908,0,0,0,1,0,0,0,2.783792e+04,9.009009e+03
35909,0,0,0,0,0,2,0,2.703343e+04,9.001627e+03
35913,0,0,0,1,0,0,0,2.692193e+04,9.016826e+03
35914,0,0,0,1,0,0,0,2.655499e+04,9.031490e+03
35915,0,0,0,1,0,1,0,2.684028e+04,9.014292e+03
35917,0,0,0,1,0,0,0,2.769361e+04,9.032692e+03
35920,0,0,0,1,0,0,0,2.667261e+04,9.035341e+03
35921,0,0,0,4,0,0,0,2.703030e+04,9.044379e+03
35922,0,0,0,1,0,0,0,2.640011e+04,9.028709e+03
35923,0,0,0,1,0,0,0,2.731311e+04,9.044705e+03
35924,0,0,1,0,0,0,0,2.601690e+04,9.039503e+03
35926,0,0,1,0,0,0,0,2.674527e+04,9.035947e+03
35927,0,0,0,0,0,0,0,2.686644e+04,9.051374e+03
35929,1,0,1,6,0,0,0,2.606987e+04,9.060225e+03
35934,0,0,1,0,0,0,0,2.708555e+04,9.072611e+03
35936,0,0,1,0,0,0,0,2.726779e+04,9.087588e+03
35937,0,0,0,1,0,0,0,2.782739e+04,9.085980e+03
35938,0,0,0,6,0,0,0,2.746931e+04,9.078673e+03
35939,0,0,0,1,0,0,0,2.617974e+04,9.089759e+03
35942,0,0,0,2,0,0,0,2.718863e+04,9.097911e+03
35943,0,0,0,1,0,0,0,2.643317e+04,9.102613e+03
35944,0,0,0,1,0,0,0,2.763979e+04,9.098055e+03
35945,0,0,0,1,0,0,0,2.754886e+04,9.107640e+03
